20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,S,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,
1,0,1,1,1,1,C,0,1,0,0,1,0,C,1,1,1,1,0,1,
1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,
1,0,1,0,0,1,0,C,1,1,1,1,C,0,1,0,0,1,0,1,
1,0,1,1,1,1,0,0,C,C,C,C,0,0,1,1,1,1,0,1,
1,0,C,0,0,0,C,0,1,1,1,1,0,C,0,0,0,C,0,1,
1,0,0,0,C,0,0,0,0,0,0,0,0,0,0,C,0,0,0,1,
1,1,1,1,1,C,1,0,1,1,1,1,0,1,C,1,1,1,1,1,
1,1,0,0,1,C,1,0,1,0,0,1,0,1,C,1,0,0,1,1,
1,1,0,0,1,C,1,0,1,0,0,1,0,1,C,1,0,0,1,1,
1,1,1,1,1,C,1,0,1,1,1,1,0,1,C,1,1,1,1,1,
1,0,0,0,C,0,0,0,0,0,0,0,0,0,0,C,0,0,0,1,
1,0,C,0,0,0,C,0,1,1,1,1,0,C,0,0,0,C,0,1,
1,0,1,1,1,1,0,0,C,C,C,C,0,0,1,1,1,1,0,1,
1,0,1,0,0,1,0,C,1,1,1,1,C,0,1,0,0,1,0,1,
1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,
1,0,1,1,1,1,C,0,1,0,0,1,0,C,1,1,1,1,0,1,
1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,M,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
